Timestamp,Action,Symbol,Price,Quantity,PnL,Balance,Reason
2025-11-26 13:19:20,BUY,SBIN,990.0,98,0.0,100000.0,Signal
2025-11-26 13:20:20,SELL,SBIN,990.0,98,0.0,100000.0,Stop Hit
2025-11-26 13:21:20,BUY,SBIN,990.0,98,0.0,100000.0,Signal
2025-11-26 13:22:20,SELL,SBIN,990.0,98,0.0,100000.0,Stop Hit
2025-11-26 13:31:20,BUY,SBIN,988.1,99,0.0,100000.0,Signal
2025-11-26 13:32:20,SELL,SBIN,988.4,99,29.7,100029.7,Stop Hit
2025-11-26 14:09:02,BUY,RPOWER,39.39,2487,0.0,100029.7,Signal
2025-11-26 14:36:02,SELL,RPOWER,39.35,2487,-99.48,99930.22,Stop Hit
2025-11-26 14:37:02,BUY,RPOWER,39.39,2487,0.0,99930.22,Signal
2025-11-27 11:53:01,BUY,NSE_EQ:RPOWER,40.07,2445,0.0,99930.22,Signal
2025-11-27 11:55:00,BUY,NSE_EQ:RPOWER,40.08,2445,0.0,99930.22,Signal
2025-11-27 12:00:00,BUY,NSE_EQ:RPOWER,40.06,2446,0.0,99930.22,Signal
2025-11-27 13:07:01,BUY,NSE_EQ:RPOWER,40.18,2439,0.0,99930.22,Signal
2025-11-27 13:08:47,SELL,NSE_EQ:RPOWER,40.17,2439,-24.39,99905.83,Trailing Stop Triggered
2025-11-27 13:09:00,BUY,NSE_EQ:RPOWER,40.19,2438,0.0,99905.83,Signal
2025-11-27 13:10:10,SELL,NSE_EQ:RPOWER,40.17,2438,-48.76,99857.07,Trailing Stop Triggered
2025-11-27 14:40:01,BUY,NSE_EQ:RPOWER,40.15,2440,0.0,99857.07,Signal
2025-11-27 15:09:44,SELL,NSE_EQ:RPOWER,5,2440,-85766.0,14091.07,Trailing Stop Triggered
2025-11-27 15:21:01,BUY,NSE_EQ:RPOWER,40.18,2439,0.0,14091.07,Signal
2025-11-27 15:23:06,SELL,NSE_EQ:RPOWER,5,2439,-85804.02,-71712.95,Trailing Stop Triggered
2025-11-28 10:49:00,BUY,NSE_EQ:VBL,482.05,203,0.0,-71712.95,Signal
2025-11-28 10:50:39,SELL,NSE_EQ:VBL,481.25,203,-162.4,-71875.35,Trailing Stop Triggered
2025-11-28 10:56:00,BUY,NSE_EQ:VBL,481.75,203,0.0,-71875.35,Signal
2025-11-28 10:56:43,SELL,NSE_EQ:VBL,481.4,203,-71.05,-71946.4,Trailing Stop Triggered
